Name,Elo

hamilton,1656.46

vettel,1370.17

alonso,1307.31

raikkonen,1367.51

max_verstappen,1576.49

ricciardo,1373.09

perez,1419.54

bottas,1254.51

hulkenberg,1240.32

sainz,1313.29

kevin_magnussen,1134.29

grosjean,1112.14

ocon,1377.51

stroll,1478.33

ericsson,1252.6

gasly,1229.9

brendon_hartley,1215.46

leclerc,1256.43

sirotkin,1221.5

vandoorne,1270.51

kvyat,1267.61

norris,1243.16

albon,1286.33

giovinazzi,1252.7

russell,1216.46

kubica,1171.0

latifi,1201.44

aitken,1200

pietro_fittipaldi,1197.73

tsunoda,1164.35

mick_schumacher,1217.12

mazepin,1189.04

zhou,1222.13

de_vries,1200.49

,1200

sargeant,1181.0

piastri,1219.19

lawson,1182.66

bearman,1267.03

colapinto,1208.84

doohan,1189.59

antonelli,1208

bortoleto,1193.46

hadjar,1159.5

