Driver,Team,Q1,Q2,Q3,Start,Finish,Track,Rain,D_Elo,T_Elo,Race_Id
leclerc,sauber,94.454,nan,nan,19.0,19.0,Chinese Grand Prix,True,1210.32,1813.09,2
brendon_hartley,toro_rosso,94.013,93.795,nan,15.0,20.0,Chinese Grand Prix,True,1190.03,1815.35,2
hamilton,mercedes,102.693,102.676,101.677,2.0,1.0,Azerbaijan Grand Prix,False,1311.94,2019.75,3
raikkonen,ferrari,102.538,102.51,102.49,6.0,2.0,Azerbaijan Grand Prix,False,1286.16,1954.67,3
perez,force_india,103.992,103.366,102.547,8.0,3.0,Azerbaijan Grand Prix,False,1219.57,1882.38,3
vettel,ferrari,102.762,103.015,101.498,1.0,4.0,Azerbaijan Grand Prix,False,1299.15,1953.98,3
sainz,renault,103.426,103.464,103.351,9.0,5.0,Azerbaijan Grand Prix,False,1223.89,1885.58,3
leclerc,sauber,103.752,104.074,nan,13.0,6.0,Azerbaijan Grand Prix,False,1218.38,1819.13,3
alonso,mclaren,104.01,104.019,nan,12.0,7.0,Azerbaijan Grand Prix,False,1308.32,1870.4,3
stroll,williams,104.359,103.585,nan,10.0,8.0,Azerbaijan Grand Prix,False,1211.0,1809.24,3
vandoorne,mclaren,104.489,nan,nan,16.0,9.0,Azerbaijan Grand Prix,False,1219.78,1876.07,3
brendon_hartley,toro_rosso,117.354,nan,nan,19.0,10.0,Azerbaijan Grand Prix,False,1198.32,1821.57,3
ericsson,sauber,105.541,nan,nan,18.0,11.0,Azerbaijan Grand Prix,False,1217.86,1824.18,3
gasly,toro_rosso,104.496,nan,nan,17.0,12.0,Azerbaijan Grand Prix,False,1205.27,1825.39,3
kevin_magnussen,haas,103.674,104.759,nan,15.0,13.0,Azerbaijan Grand Prix,False,1226.05,1840.89,3
bottas,mercedes,103.355,102.679,101.837,3.0,nan,Azerbaijan Grand Prix,False,1234.39,2019.75,3
grosjean,haas,nan,nan,nan,20.0,nan,Azerbaijan Grand Prix,False,1213.32,1840.89,3
max_verstappen,red_bull,102.642,102.901,101.994,5.0,nan,Azerbaijan Grand Prix,False,1244.02,1916.68,3
ricciardo,red_bull,102.857,103.482,101.911,4.0,nan,Azerbaijan Grand Prix,False,1256.35,1916.68,3
hulkenberg,renault,103.746,103.232,103.066,14.0,nan,Azerbaijan Grand Prix,False,1217.85,1885.58,3
ocon,force_india,103.021,102.967,102.523,7.0,nan,Azerbaijan Grand Prix,False,1210.29,1882.38,3
sirotkin,williams,104.261,103.886,nan,11.0,nan,Azerbaijan Grand Prix,False,1195.18,1809.24,3
hamilton,mercedes,77.633,77.166,76.173,1.0,1.0,Spanish Grand Prix,True,1314.62,2021.76,4
bottas,mercedes,77.674,77.111,76.213,2.0,2.0,Spanish Grand Prix,True,1236.41,2023.28,4
max_verstappen,red_bull,77.411,77.266,76.816,5.0,3.0,Spanish Grand Prix,True,1247.26,1919.11,4
vettel,ferrari,77.031,76.802,76.305,3.0,4.0,Spanish Grand Prix,True,1299.35,1954.13,4
ricciardo,red_bull,77.623,77.638,76.818,6.0,5.0,Spanish Grand Prix,True,1258.13,1920.45,4
kevin_magnussen,haas,78.169,77.618,77.676,7.0,6.0,Spanish Grand Prix,True,1227.75,1842.16,4
sainz,renault,78.48,77.803,77.79,9.0,7.0,Spanish Grand Prix,True,1226.94,1887.86,4
alonso,mclaren,78.276,78.1,77.721,8.0,8.0,Spanish Grand Prix,True,1308.76,1876.4,4
perez,force_india,78.74,79.098,nan,15.0,9.0,Spanish Grand Prix,True,1227.7,1888.48,4
leclerc,sauber,78.661,78.91,nan,14.0,10.0,Spanish Grand Prix,True,1224.18,1828.53,4
stroll,williams,80.225,nan,nan,18.0,11.0,Spanish Grand Prix,True,1219.09,1815.3,4
brendon_hartley,toro_rosso,nan,nan,nan,20.0,12.0,Spanish Grand Prix,True,1206.24,1831.33,4
ericsson,sauber,79.493,nan,nan,17.0,13.0,Spanish Grand Prix,True,1222.71,1832.17,4
sirotkin,williams,79.695,nan,nan,19.0,14.0,Spanish Grand Prix,True,1200.08,1818.97,4
vandoorne,mclaren,78.885,78.323,nan,11.0,nan,Spanish Grand Prix,True,1219.78,1868.43,4
ocon,force_india,78.813,78.696,nan,13.0,nan,Spanish Grand Prix,True,1210.29,1882.47,4
raikkonen,ferrari,77.483,77.071,76.612,4.0,nan,Spanish Grand Prix,True,1286.16,1939.74,4
grosjean,haas,78.305,77.699,77.835,10.0,nan,Spanish Grand Prix,True,1201.32,1842.16,4
gasly,toro_rosso,78.55,78.463,nan,12.0,nan,Spanish Grand Prix,True,1195.99,1831.33,4
hulkenberg,renault,78.923,nan,nan,16.0,nan,Spanish Grand Prix,True,1213.03,1887.86,4
ricciardo,red_bull,72.013,71.278,70.81,1.0,1.0,Monaco Grand Prix,True,1260.81,1922.46,5
vettel,ferrari,72.415,71.518,71.039,2.0,2.0,Monaco Grand Prix,True,1301.37,1941.26,5
hamilton,mercedes,72.46,71.584,71.232,3.0,3.0,Monaco Grand Prix,True,1316.09,2024.38,5
raikkonen,ferrari,72.639,71.391,71.266,4.0,4.0,Monaco Grand Prix,True,1287.19,1942.03,5
bottas,mercedes,72.434,72.002,71.441,5.0,5.0,Monaco Grand Prix,True,1237.12,2024.92,5
ocon,force_india,73.028,72.188,72.061,6.0,6.0,Monaco Grand Prix,True,1210.81,1882.86,5
gasly,toro_rosso,72.941,72.313,72.221,10.0,7.0,Monaco Grand Prix,True,1200.41,1834.65,5
hulkenberg,renault,73.065,72.411,nan,11.0,8.0,Monaco Grand Prix,True,1217.56,1891.26,5
max_verstappen,red_bull,nan,nan,nan,20.0,9.0,Monaco Grand Prix,True,1258.97,1931.24,5
sainz,renault,72.95,72.286,72.13,8.0,10.0,Monaco Grand Prix,True,1224.86,1889.7,5
ericsson,sauber,73.265,nan,nan,16.0,11.0,Monaco Grand Prix,True,1229.26,1837.08,5
perez,force_india,72.848,72.194,72.154,9.0,12.0,Monaco Grand Prix,True,1224.43,1880.41,5
kevin_magnussen,haas,73.393,nan,nan,19.0,13.0,Monaco Grand Prix,True,1233.91,1846.78,5
vandoorne,mclaren,72.463,72.44,nan,12.0,14.0,Monaco Grand Prix,True,1218.07,1867.15,5
grosjean,haas,72.93,72.728,nan,18.0,15.0,Monaco Grand Prix,True,1204.35,1849.05,5
sirotkin,williams,72.706,72.521,nan,13.0,16.0,Monaco Grand Prix,True,1197.12,1816.75,5
