Name,Elo
mercedes,2279.85
ferrari,2152.77
red_bull,2314.89
force_india,1903.07
renault,1911.88
mclaren,1991.26
haas,1814.97
toro_rosso,1907.25
williams,1888.81
sauber,1921.1
alfa,1901.2
racing_point,1895.47
alphatauri,1761.17
aston_martin,1947.2
alpine,1849.87
rb,1707.74
audi,1792.09
cadillac,1812.76
